F S   UID    PID   PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 S     0    203      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_20
1 I     0    204      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_20
1 S     0    205      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_21
1 I     0    206      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_21
1 S     0    207      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_22
1 I     0    208      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_22
1 S     0    209      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_23
1 I     0    210      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_23
1 S     0    211      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_24
1 I     0    212      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_24
1 S     0    213      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_25
1 I     0    214      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_25
1 S     0    215      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_26
1 I     0    216      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_26
1 S     0    217      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_27
1 I     0    218      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_27
1 S     0    219      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_28
1 I     0    220      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_28
1 S     0    221      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_29
1 I     0    222      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_29
1 S     0    223      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_30
1 I     0    224      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_30
1 S     0    225      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_31
1 I     0    226      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_31
1 I     0    227      2  0  60 -20 -     0 -      ?        00:00:00 ttm_swap
1 S     0    228      2  0  80   0 -     0 -      ?        00:00:00 scsi_eh_32
1 I     0    229      2  0  60 -20 -     0 -      ?        00:00:00 scsi_tmf_32
1 S     0    230      2  0   9   - -     0 -      ?        00:00:01 irq/16-vmwgfx
1 I     0    255      2  0  80   0 -     0 -      ?        00:00:00 kworker/u256:29
1 I     0    259      2  0  60 -20 -     0 -      ?        00:00:01 kworker/0:1H
1 S     0    281      2  0  80   0 -     0 -      ?        00:00:01 jbd2/sda1-8
1 I     0    282      2  0  60 -20 -     0 -      ?        00:00:00 ext4-rsv-conver
4 S     0    311      1  0  79  -1 - 25861 -      ?        00:00:01 systemd-journal
4 S     0    330      1  0  80   0 - 12395 -      ?        00:00:01 systemd-udevd
1 S     0    352      2  0  60 -20 -     0 -      ?        00:00:00 loop0
1 S     0    353      2  0  60 -20 -     0 -      ?        00:00:00 loop1
1 S     0    354      2  0  60 -20 -     0 -      ?        00:00:00 loop2
1 S     0    355      2  0  60 -20 -     0 -      ?        00:00:00 loop3
1 S     0    356      2  0  60 -20 -     0 -      ?        00:00:00 loop4
1 S     0    357      2  0  60 -20 -     0 -      ?        00:00:00 loop5
1 S     0    358      2  0  60 -20 -     0 -      ?        00:00:00 loop6
1 S     0    359      2  0  60 -20 -     0 -      ?        00:00:00 loop7
1 S     0    360      2  0  60 -20 -     0 -      ?        00:00:00 loop8
1 S     0    361      2  0  60 -20 -     0 -      ?        00:00:00 loop9
1 S     0    362      2  0  60 -20 -     0 -      ?        00:00:00 loop10
