UID         PID   PPID    LWP  C NLWP STIME TTY          TIME CMD
root        213      2    213  0    1 11:32 ?        00:00:00 [scsi_eh_25]
root        214      2    214  0    1 11:32 ?        00:00:00 [scsi_tmf_25]
root        215      2    215  0    1 11:32 ?        00:00:00 [scsi_eh_26]
root        216      2    216  0    1 11:32 ?        00:00:00 [scsi_tmf_26]
root        217      2    217  0    1 11:32 ?        00:00:00 [scsi_eh_27]
root        218      2    218  0    1 11:32 ?        00:00:00 [scsi_tmf_27]
root        219      2    219  0    1 11:32 ?        00:00:00 [scsi_eh_28]
root        220      2    220  0    1 11:32 ?        00:00:00 [scsi_tmf_28]
root        221      2    221  0    1 11:32 ?        00:00:00 [scsi_eh_29]
root        222      2    222  0    1 11:32 ?        00:00:00 [scsi_tmf_29]
root        223      2    223  0    1 11:32 ?        00:00:00 [scsi_eh_30]
root        224      2    224  0    1 11:32 ?        00:00:00 [scsi_tmf_30]
root        225      2    225  0    1 11:32 ?        00:00:00 [scsi_eh_31]
root        226      2    226  0    1 11:32 ?        00:00:00 [scsi_tmf_31]
root        227      2    227  0    1 11:32 ?        00:00:00 [ttm_swap]
root        228      2    228  0    1 11:32 ?        00:00:00 [scsi_eh_32]
root        229      2    229  0    1 11:32 ?        00:00:00 [scsi_tmf_32]
root        230      2    230  0    1 11:32 ?        00:00:01 [irq/16-vmwgfx]
root        255      2    255  0    1 11:32 ?        00:00:00 [kworker/u256:29]
root        259      2    259  0    1 11:32 ?        00:00:01 [kworker/0:1H]
root        281      2    281  0    1 11:32 ?        00:00:01 [jbd2/sda1-8]
root        282      2    282  0    1 11:32 ?        00:00:00 [ext4-rsv-conver]
root        311      1    311  0    1 11:32 ?        00:00:01 /lib/systemd/systemd-journald
root        330      1    330  0    1 11:32 ?        00:00:01 /lib/systemd/systemd-udevd
root        352      2    352  0    1 11:32 ?        00:00:00 [loop0]
root        353      2    353  0    1 11:32 ?        00:00:00 [loop1]
root        354      2    354  0    1 11:32 ?        00:00:00 [loop2]
root        355      2    355  0    1 11:32 ?        00:00:00 [loop3]
root        356      2    356  0    1 11:32 ?        00:00:00 [loop4]
root        357      2    357  0    1 11:32 ?        00:00:00 [loop5]
root        358      2    358  0    1 11:32 ?        00:00:00 [loop6]
root        359      2    359  0    1 11:32 ?        00:00:00 [loop7]
root        360      2    360  0    1 11:32 ?        00:00:00 [loop8]
